"","GEO_ID","NAME","education","gini","med_income","poverty","county","state","hiv_rate","cluster","county_long"
"1049","0500000US21109","Jackson County, Kentucky",71.3,0.4418,33699,31,"Jackson","Kentucky",148,4,"Jackson County"
"1050","0500000US21111","Jefferson County, Kentucky",91.3,0.4748,61633,13.7,"Jefferson","Kentucky",514,2,"Jefferson County"
"1051","0500000US21113","Jessamine County, Kentucky",89.7,0.4971,65196,12.8,"Jessamine","Kentucky",163,2,"Jessamine County"
"1052","0500000US21115","Johnson County, Kentucky",83.1,0.4724,41489,21.4,"Johnson","Kentucky",58,4,"Johnson County"
"1053","0500000US21117","Kenton County, Kentucky",91.5,0.4511,68503,11.5,"Kenton","Kentucky",262,1,"Kenton County"
"1054","0500000US21119","Knott County, Kentucky",70.4,0.4426,35583,31,"Knott","Kentucky",50,4,"Knott County"
"1055","0500000US21121","Knox County, Kentucky",76,0.5503,29206,33.5,"Knox","Kentucky",48,5,"Knox County"
"1056","0500000US21123","Larue County, Kentucky",80.8,0.4187,53555,15.7,"Larue","Kentucky",1,4,"Larue County"
"1057","0500000US21125","Laurel County, Kentucky",82.5,0.4684,46604,22.7,"Laurel","Kentucky",111,4,"Laurel County"
"1058","0500000US21127","Lawrence County, Kentucky",76.4,0.4888,37014,25.7,"Lawrence","Kentucky",37,4,"Lawrence County"
"1059","0500000US21129","Lee County, Kentucky",72.9,0.5185,29817,32.2,"Lee","Kentucky",139,5,"Lee County"
"1060","0500000US21131","Leslie County, Kentucky",83.5,0.4207,34528,31.5,"Leslie","Kentucky",12,4,"Leslie County"
"1061","0500000US21133","Letcher County, Kentucky",77,0.508,35278,29.7,"Letcher","Kentucky",50,5,"Letcher County"
"1062","0500000US21135","Lewis County, Kentucky",77.2,0.4752,32402,28.4,"Lewis","Kentucky",73,4,"Lewis County"
"1063","0500000US21137","Lincoln County, Kentucky",82.4,0.4161,45856,20.6,"Lincoln","Kentucky",10,4,"Lincoln County"
"1064","0500000US21139","Livingston County, Kentucky",86.4,0.4794,51081,13.6,"Livingston","Kentucky",91,2,"Livingston County"
"1065","0500000US21141","Logan County, Kentucky",87.5,0.4248,53133,17.2,"Logan","Kentucky",109,1,"Logan County"
"1066","0500000US21143","Lyon County, Kentucky",89.2,0.411,55203,11.6,"Lyon","Kentucky",151,1,"Lyon County"
"1067","0500000US21145","McCracken County, Kentucky",92.4,0.4952,53366,15.2,"McCracken","Kentucky",241,2,"McCracken County"
"1068","0500000US21147","McCreary County, Kentucky",78,0.4556,33939,31.7,"McCreary","Kentucky",189,4,"McCreary County"
"1069","0500000US21149","McLean County, Kentucky",90,0.4415,57027,13,"McLean","Kentucky",92,1,"McLean County"
"1070","0500000US21151","Madison County, Kentucky",89.7,0.4585,55002,17.9,"Madison","Kentucky",85,2,"Madison County"
"1071","0500000US21153","Magoffin County, Kentucky",72.1,0.5147,29615,29.2,"Magoffin","Kentucky",11,5,"Magoffin County"
"1072","0500000US21155","Marion County, Kentucky",85.3,0.4152,48791,21.3,"Marion","Kentucky",67,4,"Marion County"
"1073","0500000US21157","Marshall County, Kentucky",91.8,0.4399,58989,10.2,"Marshall","Kentucky",66,1,"Marshall County"
"1074","0500000US21159","Martin County, Kentucky",73.7,0.4793,40826,18.2,"Martin","Kentucky",83,4,"Martin County"
"1075","0500000US21161","Mason County, Kentucky",86.1,0.5256,48106,17.2,"Mason","Kentucky",134,2,"Mason County"
"1076","0500000US21163","Meade County, Kentucky",89.3,0.4208,63944,12.1,"Meade","Kentucky",75,1,"Meade County"
"1077","0500000US21165","Menifee County, Kentucky",76.6,0.4139,43313,20.7,"Menifee","Kentucky",110,4,"Menifee County"
"1078","0500000US21167","Mercer County, Kentucky",88.1,0.4202,53750,13.1,"Mercer","Kentucky",62,1,"Mercer County"
"1079","0500000US21169","Metcalfe County, Kentucky",81.5,0.4272,43196,22.2,"Metcalfe","Kentucky",1,4,"Metcalfe County"
"1080","0500000US21171","Monroe County, Kentucky",80.7,0.5038,39334,24.7,"Monroe","Kentucky",11,4,"Monroe County"
"1081","0500000US21173","Montgomery County, Kentucky",85.4,0.4031,49313,17.8,"Montgomery","Kentucky",127,1,"Montgomery County"
"1082","0500000US21175","Morgan County, Kentucky",76.9,0.4807,41664,21.6,"Morgan","Kentucky",1,4,"Morgan County"
"1083","0500000US21177","Muhlenberg County, Kentucky",83.3,0.4993,46124,14.7,"Muhlenberg","Kentucky",88,4,"Muhlenberg County"
"1084","0500000US21179","Nelson County, Kentucky",92.1,0.435,64354,7.7,"Nelson","Kentucky",76,1,"Nelson County"
"1085","0500000US21181","Nicholas County, Kentucky",81.1,0.4294,44306,22.4,"Nicholas","Kentucky",6,4,"Nicholas County"
"1086","0500000US21183","Ohio County, Kentucky",81.3,0.4419,48481,16.2,"Ohio","Kentucky",35,4,"Ohio County"
"1087","0500000US21185","Oldham County, Kentucky",93.9,0.4359,109815,4.8,"Oldham","Kentucky",145,3,"Oldham County"
"1088","0500000US21187","Owen County, Kentucky",82.9,0.4507,52450,17.9,"Owen","Kentucky",62,4,"Owen County"
"1089","0500000US21189","Owsley County, Kentucky",68.5,0.48,29340,28.1,"Owsley","Kentucky",5,5,"Owsley County"
